.accft,Access.ACCFTFile.14,Microsoft Access Template,application/msaccess.ftemplate,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,2",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.acl,ACLFile,AutoCorrect List File,,,,,,0x00000000,0x00000000,"C:\PROGRA~2\COMMON~1\MICROS~1\OFFICE14\MSOICONS.EXE,6",7/5/2012 4:35:44 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.acp,wireshark-capture-file,Wireshark capture file,,,,,,0x00000000,0x00000000,"""C:\Program Files\Wireshark\wireshark.exe"",1",7/6/2012 11:57:32 AM,Standard,,Wireshark,1.6.2,Wireshark,"The Wireshark developer community, http://www.wireshark.org/"
.acrobatsecuritysettings,AcroExch.acrobatsecuritysettings,Adobe Acrobat Security Settings Document,application/vnd.adobe.acrobat-security-settings,,,,,0x00010000,0x00000000,,11/4/2011 1:26:22 PM,Standard,,,,,
.ade,Access.ADEFile.14,Microsoft Access Project Extension,application/msaccess,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,52",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.adn,Access.BlankProjectTemplate.14,Microsoft Access Blank Project Template,,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,53",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.adp,Access.Project.14,Microsoft Access Project,application/msaccess,,,,,0x00000000,0x00000000,"C:\Windows\Installer\{90140000-0011-0000-0000-0000000FF1CE}\accicons.exe,53",7/5/2012 4:44:40 PM,Standard,,Microsoft Office 2010,14.0.6009.1000,Microsoft Office 2010 component,Microsoft Corporation
.ADT,WMP11.AssocFile.ADTS,ADTS Audio,audio/vnd.dlna.adts,audio,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/13/2009 11:09:22 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.ADTS,WMP11.AssocFile.ADTS,ADTS Audio,audio/vnd.dlna.adts,audio,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/13/2009 11:09:22 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
.ai,,,application/postscript,,,,,0x00000000,0x00000000,,7/13/2009 10:53:38 PM,Standard,,,,,
.aif,WMP11.AssocFile.AIFF,AIFF Format Sound,audio/aiff,audio,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",7/7/2012 4:52:14 PM,Standard,,Microsoft® Windows® Operating System,12.0.7600.16385 (win7_rtm.090713-1255),Windows Media Player Resources,Microsoft Corporation
