.bkf,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.blg,Diagnostic.Perfmon.Document,Performance Monitor File,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\wdc.dll,-10024",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Performance Monitor,Microsoft Corporation
,image,,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\shell32.dll,-16823",2/13/2014 7:06:27 PM,Perceived Type,,Microsoft® Windows® Operating System,6.3.9600.17031 (winblue_gdr.140221-1952),Windows Shell Common Dll,Microsoft Corporation
.bpdx,AcrobatBPDXFileType,Adobe Acrobat Batch PDX files,,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\{AC76BA86-1033-FFFF-7760-000000000006}\_89EDA7BD_C470_4EF7_A64B_8E8CA2242D43,0",2/18/2014 12:09:22 PM,Standard,Acrobat.AcrobatBPDXFileType,,,,
.bsc,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
,document,,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\shell32.dll,-16822",2/13/2014 7:06:27 PM,Perceived Type,,Microsoft® Windows® Operating System,6.3.9600.17031 (winblue_gdr.140221-1952),Windows Shell Common Dll,Microsoft Corporation
,audio,,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\shell32.dll,-16824",2/13/2014 7:06:27 PM,Perceived Type,,Microsoft® Windows® Operating System,6.3.9600.17031 (winblue_gdr.140221-1952),Windows Shell Common Dll,Microsoft Corporation
.camp,campfile,WCS Viewing Condition Profile,,,,,,0x00000000,0x00000000,"%SystemRoot%\System32\colorui.dll,-17",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Microsoft Color Control Panel,Microsoft Corporation
.cat,CATFile,Security Catalog,application/vnd.ms-pki.seccat,,,,,0x00000000,0x00000000,"cryptui.dll,-3418",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Microsoft Trust UI Provider,Microsoft Corporation
.cc,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.CDA,WMP11.AssocFile.CDA,CD Audio Track,,,,,,0x00110000,0x00000000,"%SystemRoot%\system32\wmploc.dll,-730",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,12.0.9600.16384 (winblue_rtm.130821-1623),Windows Media Player Resources,Microsoft Corporation
.cdmp,cdmpfile,WCS Device Profile,,,,,,0x00000000,0x00000000,"%SystemRoot%\System32\colorui.dll,-16",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Microsoft Color Control Panel,Microsoft Corporation
.cdx,aspfile,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
Folder,Folder,Folder,,,,,,0x000003d2,0x00000000,"%SystemRoot%\System32\shell32.dll,3",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.17031 (winblue_gdr.140221-1952),Windows Shell Common Dll,Microsoft Corporation
.cer,CERFile,Security Certificate,application/x-x509-ca-cert,,,,,0x00000000,0x00000000,"cryptui.dll,-3410",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Microsoft Trust UI Provider,Microsoft Corporation
.cgm,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
directory,File Folder,File Folder,,,,,*,0x000001d2,0x00000000,"%SystemRoot%\System32\shell32.dll,3",2/10/2015 3:03:38 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.17031 (winblue_gdr.140221-1952),Windows Shell Common Dll,Microsoft Corporation
.chm,chm.file,Compiled HTML Help file,,,,,,0x00000000,0x00000000,"%SystemRoot%\hh.exe,0",2/13/2014 7:06:26 PM,Standard,,HTML Help,6.3.9600.16384 (winblue_rtm.130821-1623),Microsoft® HTML Help Executable,Microsoft Corporation
.cls,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.cmd,cmdfile,Windows Command Script,,,,,,0x00000430,0x00000000,"%SystemRoot%\System32\imageres.dll,-68",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Image Resource,Microsoft Corporation
.cod,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.com,comfile,MS-DOS Application,,,,,,0x00000030,0x00000000,"%SystemRoot%\System32\shell32.dll,2",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.17031 (winblue_gdr.140221-1952),Windows Shell Common Dll,Microsoft Corporation
.compositefont,Windows.CompositeFont,Composite Font File,,,,,,0x00000000,0x00000000,"C:\Windows\System32\PresentationHost.exe,2",2/13/2014 7:06:26 PM,Standard,,Microsoft® .NET Framework,4.0.41210.0 built by: Main,Windows Presentation Foundation Host,Microsoft Corporation
.contact,contact_wab_auto_file,Contact File,text/x-ms-contact,,,,,0x00000000,0x00000000,"%ProgramFiles%\Windows Mail\wab.exe,1",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.17415 (winblue_r4.141028-1500),Windows Contacts,Microsoft Corporation
.cpl,cplfile,Control Panel Item,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.zpl,,,,,,,,0x00000000,0x00000000,,2/20/2014 10:18:19 AM,Standard,,,,,
.zoo,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.crl,CRLFile,Certificate Revocation List,application/pkix-crl,,,,,0x00000000,0x00000000,"cryptui.dll,-3417",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Microsoft Trust UI Provider,Microsoft Corporation
.crt,CERFile,Security Certificate,application/x-x509-ca-cert,,,,,0x00000000,0x00000000,"cryptui.dll,-3410",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Microsoft Trust UI Provider,Microsoft Corporation
.crtx,CRTXFile,Microsoft Office Chart Template,,,,,,0x00000000,0x00000000,"C:\PROGRA~2\MICROS~2\Office15\OART.DLL,-5000",11/11/2014 9:41:46 AM,Standard,,Microsoft Office 2013,15.0.4693.1000,Microsoft OfficeArt,Microsoft Corporation
.ZFSendToTarget,CLSID\{888DCA60-FC0A-11CF-8F0F-00C04FD7D062},Compressed (zipped) Folder SendTo Target,,,,*,,0x00000001,0x00000000,%SystemRoot%\system32\zipfldr.dll,2/13/2014 7:06:26 PM,Standard,,,,,
.cs,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.csa,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.csproj,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.z96,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.xvid,,,,,,,,0x00000000,0x00000000,,2/20/2014 10:18:18 AM,Standard,,,,,
.cur,curfile,Cursor,,,,,,0x00000000,0x00000000,%1,2/13/2014 7:06:26 PM,Standard,,,,,
.xtp2,XTP2File,Microsoft InfoPath Template Part File,,,,,,0x00000000,0x00000000,"C:\Program Files (x86)\Microsoft Office\Office15\INFOPATH.EXE,1",2/14/2014 11:39:19 AM,Standard,,Microsoft Office InfoPath,15.0.4569.1503,Microsoft InfoPath,Microsoft Corporation
.dat,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.db,dbfile,Data Base File,,,,,,0x00000000,0x00000000,"C:\Windows\system32\imageres.dll,-67",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Image Resource,Microsoft Corporation
.dbg,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.dbs,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.dcr,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:09:08 PM,Standard,,,,,
.dct,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.dctx,IMEDictionaryCompiler,Open Extended Dictionary,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.dctxc,IMEDictionaryCompiler,Open Extended Dictionary,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.xtp,XTPFile,Microsoft InfoPath Template Part File,,,,,,0x00000000,0x00000000,"C:\Program Files (x86)\Microsoft Office\Office15\INFOPATH.EXE,1",2/14/2014 11:39:19 AM,Standard,,Microsoft Office InfoPath,15.0.4569.1503,Microsoft InfoPath,Microsoft Corporation
.xsn,InfoPath.Solution.4,Microsoft InfoPath Form Template,,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\inficon.exe,2",2/14/2014 11:39:15 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.der,CERFile,Security Certificate,application/x-x509-ca-cert,,,,,0x00000000,0x00000000,"cryptui.dll,-3410",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Microsoft Trust UI Provider,Microsoft Corporation
.desklink,CLSID\{9E56BE61-C50F-11CF-9A2C-00A0C90A90CE},Desktop Shortcut,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\imageres.dll,-110",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Image Resource,Microsoft Corporation
.deskthemepack,desktopthemepackfile,Windows Desktop Theme Pack,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\themeui.dll,-704",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Theme API,Microsoft Corporation
.det,Outlook.File.det.15,Office Data File,,,,,,0x00000000,0x00000000,"C:\PROGRA~2\COMMON~1\MICROS~1\OFFICE15\MSOICONS.EXE,6",2/14/2014 11:39:19 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.diagcab,Diagnostic.Cabinet,Diagnostic Cabinet,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\msdt.exe,-10013",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Diagnostics Troubleshooting Wizard,Microsoft Corporation
.diagcfg,Diagnostic.Config,Diagnostic Configuration,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\msdt.exe,-10015",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Diagnostics Troubleshooting Wizard,Microsoft Corporation
.diagpkg,Diagnostic.Document,Diagnostic Document,,,,,,0x00000000,0x00000000,"%SystemRoot%\system32\msdt.exe,-10011",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Diagnostics Troubleshooting Wizard,Microsoft Corporation
.xslt,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.dic,txtfile,Text Document,,,,,,0x00210000,0x00000000,"%SystemRoot%\system32\imageres.dll,-102",2/14/2014 11:39:21 AM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Image Resource,Microsoft Corporation
.diff,unified_diff_file,,,,,,,0x00000000,0x00000000,,2/19/2015 11:57:52 AM,Standard,,,,,
.divx,,,,,,,,0x00000000,0x00000000,,2/20/2014 10:18:18 AM,Standard,,,,,
.xsf,InfoPath.SolutionManifest.4,Microsoft InfoPath Form Definition File,,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\inficon.exe,2",2/14/2014 11:39:15 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.dll,dllfile,Application Extension,application/x-msdownload,,,*,*,0x00000001,0x00000000,"C:\Windows\system32\imageres.dll,-67",2/13/2014 7:06:26 PM,Standard,,Microsoft® Windows® Operating System,6.3.9600.16384 (winblue_rtm.130821-1623),Windows Image Resource,Microsoft Corporation
.dl_,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.xsd,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.doc,Word.Document.8,Microsoft Word 97 - 2003 Document,application/msword,,,,,0x00000000,0x00000008,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\wordicon.exe,1",2/27/2014 12:58:52 PM,Standard,Word.Document.8,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.dochtml,wordhtmlfile,Microsoft Word HTML Document,,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\wordicon.exe,11",2/18/2014 11:57:48 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.xrm-ms,MSSppLicenseFile,XrML Digital License,text/xml,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.docmhtml,wordmhtmlfile,,,,,,,0x00000000,0x00000000,"C:\PROGRA~2\MICROS~2\Office15\WINWORD.EXE,-16",2/18/2014 11:57:48 AM,Standard,,Microsoft Office 2013,15.0.4693.1000,Microsoft Word,Microsoft Corporation
.xps,Windows.XPSReachViewer,XPS Document,application/vnd.ms-xpsdocument,,,,,0x00010000,0x00000000,@{Microsoft.Reader_6.3.9654.17499_x64__8wekyb3d8bbwe?ms-resource://Microsoft.Reader/Files/Images/ReaderFileLogo.png},2/20/2014 10:18:21 AM,Standard,AppX86746z2101ayy2ygv3g96e4eqdf8r99j,,,,
.docxml,wordxmlfile,Microsoft Word XML Document,,,,,,0x00000000,0x0000002c,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\wordicon.exe,12",2/18/2014 11:57:48 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.dos,,,,,,,,0x00000000,0x00000000,,2/13/2014 7:06:26 PM,Standard,,,,,
.dot,Word.Template.8,Microsoft Word 97 - 2003 Template,application/msword,,,,,0x00000000,0x0000002c,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\wordicon.exe,2",2/18/2014 11:57:48 AM,Standard,Word.Template.8,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.dothtml,wordhtmltemplate,Microsoft Word HTML Template,,,,,,0x00000000,0x00000000,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\wordicon.exe,9",2/18/2014 11:57:48 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
.xlxml,Excelxmlss,Microsoft Excel XML Worksheet,,,,,,0x00000000,0x00000008,"C:\PROGRA~2\MICROS~2\Office15\EXCEL.EXE,-282",2/14/2014 11:39:19 AM,Standard,,Microsoft Office 2013,15.0.4693.1000,Microsoft Excel,Microsoft Corporation
.xlw,Excel.Workspace,Microsoft Excel Workspace,application/vnd.ms-excel,,,,,0x00000000,0x00000008,"C:\WINDOWS\Installer\{90150000-0011-0000-0000-0000000FF1CE}\xlicons.exe,7",2/14/2014 11:39:15 AM,Standard,,Microsoft Office 2013,15.0.4553.1000,Microsoft Office 2013 component,Microsoft Corporation
